column,dtype,count,missing_count,missing_ratio,mean,median,std,min,max,p25,p50,p75,unique,top,top_freq
Age,numeric,714,177,0.198653,29.69911764705882,28.0,14.526497332334042,0.42,80.0,20.125,28.0,38.0,,,
Cabin,categorical,204,687,0.771044,,,,,,,,,147.0,B96 B98,4.0
Embarked,categorical,889,2,0.002245,,,,,,,,,3.0,S,644.0
Fare,numeric,891,0,0.0,32.204207968574636,14.4542,49.6934285971809,0.0,512.3292,7.9104,14.4542,31.0,,,
Name,categorical,891,0,0.0,,,,,,,,,891.0,"Abbing, Mr. Anthony",1.0
Parch,categorical,891,0,0.0,,,,,,,,,7.0,0,678.0
PassengerId,numeric,891,0,0.0,446.0,446.0,257.3538420152301,1.0,891.0,223.5,446.0,668.5,,,
Pclass,categorical,891,0,0.0,,,,,,,,,3.0,3,491.0
Sex,categorical,891,0,0.0,,,,,,,,,2.0,male,577.0
SibSp,categorical,891,0,0.0,,,,,,,,,7.0,0,608.0
Survived,categorical,891,0,0.0,,,,,,,,,2.0,0,549.0
Ticket,categorical,891,0,0.0,,,,,,,,,681.0,1601,7.0
